04-01 09:36:13.720 18946 18946 I flutter : [PERF] 09:36:13 | FPS:6 | MLKit:140ms | TFLite:145ms | Total:286ms
04-01 09:36:14.846 18946 18946 I flutter : [PERF] 09:36:14 | FPS:7 | MLKit:136ms | TFLite:145ms | Total:281ms
04-01 09:36:15.877 18946 18946 I flutter : [PERF] 09:36:15 | FPS:6 | MLKit:127ms | TFLite:145ms | Total:273ms
04-01 09:36:16.958 18946 18946 I flutter : [PERF] 09:36:16 | FPS:6 | MLKit:121ms | TFLite:144ms | Total:265ms
04-01 09:36:17.987 18946 18946 I flutter : [PERF] 09:36:17 | FPS:6 | MLKit:114ms | TFLite:141ms | Total:255ms
04-01 09:36:19.012 18946 18946 I flutter : [PERF] 09:36:19 | FPS:5 | MLKit:102ms | TFLite:144ms | Total:247ms
04-01 09:36:20.048 18946 18946 I flutter : [PERF] 09:36:20 | FPS:6 | MLKit:98ms | TFLite:145ms | Total:243ms
04-01 09:36:21.163 18946 18946 I flutter : [PERF] 09:36:21 | FPS:7 | MLKit:98ms | TFLite:145ms | Total:243ms
04-01 09:36:22.216 18946 18946 I flutter : [PERF] 09:36:22 | FPS:6 | MLKit:94ms | TFLite:145ms | Total:240ms
04-01 09:36:23.314 18946 18946 I flutter : [PERF] 09:36:23 | FPS:5 | MLKit:92ms | TFLite:151ms | Total:243ms
04-01 09:36:24.448 18946 18946 I flutter : [PERF] 09:36:24 | FPS:7 | MLKit:106ms | TFLite:146ms | Total:253ms
04-01 09:36:25.504 18946 18946 I flutter : [PERF] 09:36:25 | FPS:6 | MLKit:104ms | TFLite:148ms | Total:253ms
04-01 09:36:26.711 18946 18946 I flutter : [PERF] 09:36:26 | FPS:7 | MLKit:102ms | TFLite:148ms | Total:250ms
04-01 09:36:27.873 18946 18946 I flutter : [PERF] 09:36:27 | FPS:6 | MLKit:105ms | TFLite:150ms | Total:256ms
04-01 09:36:28.979 18946 18946 I flutter : [PERF] 09:36:28 | FPS:7 | MLKit:114ms | TFLite:145ms | Total:259ms
04-01 09:36:30.097 18946 18946 I flutter : [PERF] 09:36:30 | FPS:7 | MLKit:125ms | TFLite:147ms | Total:273ms
04-01 09:36:31.254 18946 18946 I flutter : [PERF] 09:36:31 | FPS:7 | MLKit:121ms | TFLite:148ms | Total:270ms
04-01 09:36:32.366 18946 18946 I flutter : [PERF] 09:36:32 | FPS:6 | MLKit:133ms | TFLite:149ms | Total:282ms
04-01 09:36:33.478 18946 18946 I flutter : [PERF] 09:36:33 | FPS:7 | MLKit:131ms | TFLite:148ms | Total:279ms
04-01 09:36:34.621 18946 18946 I flutter : [PERF] 09:36:34 | FPS:7 | MLKit:119ms | TFLite:146ms | Total:265ms
04-01 09:36:35.682 18946 18946 I flutter : [PERF] 09:36:35 | FPS:6 | MLKit:117ms | TFLite:148ms | Total:265ms
04-01 09:36:36.704 18946 18946 I flutter : [PERF] 09:36:36 | FPS:7 | MLKit:124ms | TFLite:143ms | Total:268ms
04-01 09:36:37.708 18946 18946 I flutter : [PERF] 09:36:37 | FPS:5 | MLKit:124ms | TFLite:147ms | Total:272ms
04-01 09:36:38.773 18946 18946 I flutter : [PERF] 09:36:38 | FPS:6 | MLKit:122ms | TFLite:147ms | Total:269ms
04-01 09:36:39.872 18946 18946 I flutter : [PERF] 09:36:39 | FPS:7 | MLKit:138ms | TFLite:150ms | Total:288ms
04-01 09:36:40.975 18946 18946 I flutter : [PERF] 09:36:40 | FPS:7 | MLKit:135ms | TFLite:150ms | Total:286ms
04-01 09:36:42.018 18946 18946 I flutter : [PERF] 09:36:42 | FPS:5 | MLKit:140ms | TFLite:156ms | Total:297ms
04-01 09:36:43.212 18946 18946 I flutter : [PERF] 09:36:43 | FPS:6 | MLKit:122ms | TFLite:151ms | Total:274ms
04-01 09:36:44.290 18946 18946 I flutter : [PERF] 09:36:44 | FPS:6 | MLKit:122ms | TFLite:153ms | Total:276ms
04-01 09:36:45.441 18946 18946 I flutter : [PERF] 09:36:45 | FPS:6 | MLKit:120ms | TFLite:155ms | Total:275ms
04-01 09:36:46.598 18946 18946 I flutter : [PERF] 09:36:46 | FPS:6 | MLKit:124ms | TFLite:159ms | Total:284ms
04-01 09:36:47.717 18946 18946 I flutter : [PERF] 09:36:47 | FPS:7 | MLKit:129ms | TFLite:155ms | Total:285ms
04-01 09:36:48.818 18946 18946 I flutter : [PERF] 09:36:48 | FPS:7 | MLKit:135ms | TFLite:152ms | Total:288ms
04-01 09:36:49.975 18946 18946 I flutter : [PERF] 09:36:49 | FPS:7 | MLKit:132ms | TFLite:150ms | Total:282ms
04-01 09:36:51.093 18946 18946 I flutter : [PERF] 09:36:51 | FPS:7 | MLKit:133ms | TFLite:145ms | Total:278ms
04-01 09:36:52.173 18946 18946 I flutter : [PERF] 09:36:52 | FPS:6 | MLKit:122ms | TFLite:143ms | Total:266ms
04-01 09:36:53.355 18946 18946 I flutter : [PERF] 09:36:53 | FPS:6 | MLKit:123ms | TFLite:149ms | Total:273ms
04-01 09:36:54.474 18946 18946 I flutter : [PERF] 09:36:54 | FPS:6 | MLKit:121ms | TFLite:151ms | Total:273ms
04-01 09:36:55.618 18946 18946 I flutter : [PERF] 09:36:55 | FPS:7 | MLKit:120ms | TFLite:150ms | Total:271ms
04-01 09:36:56.627 18946 18946 I flutter : [PERF] 09:36:56 | FPS:6 | MLKit:124ms | TFLite:152ms | Total:276ms
04-01 09:36:57.647 18946 18946 I flutter : [PERF] 09:36:57 | FPS:6 | MLKit:123ms | TFLite:150ms | Total:274ms
04-01 09:36:58.764 18946 18946 I flutter : [PERF] 09:36:58 | FPS:7 | MLKit:126ms | TFLite:146ms | Total:272ms
04-01 09:36:59.873 18946 18946 I flutter : [PERF] 09:36:59 | FPS:5 | MLKit:123ms | TFLite:150ms | Total:273ms
04-01 09:37:01.038 18946 18946 I flutter : [PERF] 09:37:01 | FPS:7 | MLKit:114ms | TFLite:154ms | Total:263ms
04-01 09:37:02.087 18946 18946 I flutter : [PERF] 09:37:02 | FPS:6 | MLKit:106ms | TFLite:153ms | Total:255ms
04-01 09:37:03.262 18946 18946 I flutter : [PERF] 09:37:03 | FPS:6 | MLKit:103ms | TFLite:155ms | Total:253ms
04-01 09:37:04.279 18946 18946 I flutter : [PERF] 09:37:04 | FPS:5 | MLKit:97ms | TFLite:159ms | Total:251ms
04-01 09:37:05.423 18946 18946 I flutter : [PERF] 09:37:05 | FPS:7 | MLKit:101ms | TFLite:154ms | Total:250ms
04-01 09:37:06.546 18946 18946 I flutter : [PERF] 09:37:06 | FPS:7 | MLKit:111ms | TFLite:152ms | Total:263ms
04-01 09:37:07.675 18946 18946 I flutter : [PERF] 09:37:07 | FPS:7 | MLKit:126ms | TFLite:151ms | Total:277ms
04-01 09:37:08.750 18946 18946 I flutter : [PERF] 09:37:08 | FPS:6 | MLKit:119ms | TFLite:151ms | Total:271ms
04-01 09:37:09.847 18946 18946 I flutter : [PERF] 09:37:09 | FPS:6 | MLKit:114ms | TFLite:149ms | Total:263ms
04-01 09:37:10.910 18946 18946 I flutter : [PERF] 09:37:10 | FPS:6 | MLKit:104ms | TFLite:147ms | Total:252ms
04-01 09:37:11.950 18946 18946 I flutter : [PERF] 09:37:11 | FPS:6 | MLKit:96ms | TFLite:146ms | Total:243ms
04-01 09:37:13.164 18946 18946 I flutter : [PERF] 09:37:13 | FPS:6 | MLKit:82ms | TFLite:147ms | Total:230ms
04-01 09:37:14.229 18946 18946 I flutter : [PERF] 09:37:14 | FPS:6 | MLKit:82ms | TFLite:148ms | Total:230ms
04-01 09:37:15.377 18946 18946 I flutter : [PERF] 09:37:15 | FPS:7 | MLKit:95ms | TFLite:147ms | Total:242ms
04-01 09:37:16.497 18946 18946 I flutter : [PERF] 09:37:16 | FPS:6 | MLKit:104ms | TFLite:149ms | Total:253ms
04-01 09:37:17.509 18946 18946 I flutter : [PERF] 09:37:17 | FPS:6 | MLKit:99ms | TFLite:147ms | Total:247ms
04-01 09:37:18.611 18946 18946 I flutter : [PERF] 09:37:18 | FPS:6 | MLKit:107ms | TFLite:149ms | Total:256ms
04-01 09:37:19.690 18946 18946 I flutter : [PERF] 09:37:19 | FPS:6 | MLKit:120ms | TFLite:150ms | Total:271ms
04-01 09:37:20.711 18946 18946 I flutter : [PERF] 09:37:20 | FPS:6 | MLKit:118ms | TFLite:153ms | Total:271ms
04-01 09:37:21.740 18946 18946 I flutter : [PERF] 09:37:21 | FPS:6 | MLKit:117ms | TFLite:150ms | Total:268ms
04-01 09:37:22.983 18946 18946 I flutter : [PERF] 09:37:22 | FPS:6 | MLKit:138ms | TFLite:158ms | Total:296ms
04-01 09:37:24.211 18946 18946 I flutter : [PERF] 09:37:24 | FPS:6 | MLKit:140ms | TFLite:161ms | Total:301ms
04-01 09:37:25.407 18946 18946 I flutter : [PERF] 09:37:25 | FPS:7 | MLKit:134ms | TFLite:157ms | Total:292ms
04-01 09:37:26.574 18946 18946 I flutter : [PERF] 09:37:26 | FPS:7 | MLKit:138ms | TFLite:159ms | Total:297ms
