03-28 20:54:54.826  6208  6208 I flutter : [PERF] 20:54:54 | FPS:12 | MLKit:50ms | TFLite:58ms | Total:107ms
03-28 20:54:55.902  6208  6208 I flutter : [PERF] 20:54:55 | FPS:12 | MLKit:50ms | TFLite:55ms | Total:104ms
03-28 20:54:56.990  6208  6208 I flutter : [PERF] 20:54:56 | FPS:12 | MLKit:52ms | TFLite:56ms | Total:107ms
03-28 20:54:58.058  6208  6208 I flutter : [PERF] 20:54:58 | FPS:12 | MLKit:54ms | TFLite:56ms | Total:110ms
03-28 20:54:59.078  6208  6208 I flutter : [PERF] 20:54:59 | FPS:13 | MLKit:52ms | TFLite:55ms | Total:108ms
03-28 20:55:00.136  6208  6208 I flutter : [PERF] 20:55:00 | FPS:9 | MLKit:58ms | TFLite:61ms | Total:120ms
03-28 20:55:01.137  6208  6208 I flutter : [PERF] 20:55:01 | FPS:10 | MLKit:64ms | TFLite:66ms | Total:131ms
03-28 20:55:02.218  6208  6208 I flutter : [PERF] 20:55:02 | FPS:11 | MLKit:64ms | TFLite:68ms | Total:133ms
03-28 20:55:03.264  6208  6208 I flutter : [PERF] 20:55:03 | FPS:12 | MLKit:60ms | TFLite:64ms | Total:125ms
03-28 20:55:04.412  6208  6208 I flutter : [PERF] 20:55:04 | FPS:11 | MLKit:59ms | TFLite:65ms | Total:125ms
03-28 20:55:05.433  6208  6208 I flutter : [PERF] 20:55:05 | FPS:13 | MLKit:66ms | TFLite:69ms | Total:136ms
03-28 20:55:06.467  6208  6208 I flutter : [PERF] 20:55:06 | FPS:10 | MLKit:71ms | TFLite:72ms | Total:143ms
03-28 20:55:07.496  6208  6208 I flutter : [PERF] 20:55:07 | FPS:10 | MLKit:70ms | TFLite:70ms | Total:140ms
03-28 20:55:08.508  6208  6208 I flutter : [PERF] 20:55:08 | FPS:8 | MLKit:71ms | TFLite:75ms | Total:146ms
03-28 20:55:09.517  6208  6208 I flutter : [PERF] 20:55:09 | FPS:10 | MLKit:73ms | TFLite:78ms | Total:152ms
03-28 20:55:10.520  6208  6208 I flutter : [PERF] 20:55:10 | FPS:9 | MLKit:78ms | TFLite:83ms | Total:161ms
03-28 20:55:11.566  6208  6208 I flutter : [PERF] 20:55:11 | FPS:13 | MLKit:74ms | TFLite:76ms | Total:150ms
03-28 20:55:12.611  6208  6208 I flutter : [PERF] 20:55:12 | FPS:11 | MLKit:71ms | TFLite:72ms | Total:143ms
03-28 20:55:13.650  6208  6208 I flutter : [PERF] 20:55:13 | FPS:8 | MLKit:68ms | TFLite:72ms | Total:140ms
03-28 20:55:14.681  6208  6208 I flutter : [PERF] 20:55:14 | FPS:11 | MLKit:71ms | TFLite:72ms | Total:144ms
03-28 20:55:15.704  6208  6208 I flutter : [PERF] 20:55:15 | FPS:12 | MLKit:68ms | TFLite:69ms | Total:138ms
03-28 20:55:16.722  6208  6208 I flutter : [PERF] 20:55:16 | FPS:10 | MLKit:63ms | TFLite:63ms | Total:126ms
03-28 20:55:17.731  6208  6208 I flutter : [PERF] 20:55:17 | FPS:12 | MLKit:58ms | TFLite:61ms | Total:120ms
03-28 20:55:18.735  6208  6208 I flutter : [PERF] 20:55:18 | FPS:11 | MLKit:58ms | TFLite:61ms | Total:119ms
03-28 20:55:19.799  6208  6208 I flutter : [PERF] 20:55:19 | FPS:11 | MLKit:63ms | TFLite:62ms | Total:126ms
03-28 20:55:20.811  6208  6208 I flutter : [PERF] 20:55:20 | FPS:11 | MLKit:58ms | TFLite:60ms | Total:118ms
03-28 20:55:21.845  6208  6208 I flutter : [PERF] 20:55:21 | FPS:9 | MLKit:60ms | TFLite:64ms | Total:125ms
03-28 20:55:22.859  6208  6208 I flutter : [PERF] 20:55:22 | FPS:10 | MLKit:59ms | TFLite:66ms | Total:125ms
03-28 20:55:23.915  6208  6208 I flutter : [PERF] 20:55:23 | FPS:10 | MLKit:71ms | TFLite:73ms | Total:144ms
03-28 20:55:24.953  6208  6208 I flutter : [PERF] 20:55:24 | FPS:10 | MLKit:70ms | TFLite:70ms | Total:141ms
03-28 20:55:25.977  6208  6208 I flutter : [PERF] 20:55:25 | FPS:11 | MLKit:72ms | TFLite:73ms | Total:146ms
03-28 20:55:27.022  6208  6208 I flutter : [PERF] 20:55:27 | FPS:10 | MLKit:64ms | TFLite:71ms | Total:135ms
03-28 20:55:28.049  6208  6208 I flutter : [PERF] 20:55:28 | FPS:11 | MLKit:75ms | TFLite:74ms | Total:149ms
03-28 20:55:29.094  6208  6208 I flutter : [PERF] 20:55:29 | FPS:10 | MLKit:72ms | TFLite:73ms | Total:145ms
03-28 20:55:30.148  6208  6208 I flutter : [PERF] 20:55:30 | FPS:11 | MLKit:70ms | TFLite:71ms | Total:142ms
03-28 20:55:31.196  6208  6208 I flutter : [PERF] 20:55:31 | FPS:11 | MLKit:64ms | TFLite:69ms | Total:134ms
03-28 20:55:32.232  6208  6208 I flutter : [PERF] 20:55:32 | FPS:12 | MLKit:63ms | TFLite:67ms | Total:130ms
03-28 20:55:33.253  6208  6208 I flutter : [PERF] 20:55:33 | FPS:10 | MLKit:60ms | TFLite:67ms | Total:128ms
03-28 20:55:34.280  6208  6208 I flutter : [PERF] 20:55:34 | FPS:13 | MLKit:57ms | TFLite:62ms | Total:119ms
03-28 20:55:35.342  6208  6208 I flutter : [PERF] 20:55:35 | FPS:14 | MLKit:50ms | TFLite:55ms | Total:105ms
03-28 20:55:36.456  6208  6208 I flutter : [PERF] 20:55:36 | FPS:11 | MLKit:57ms | TFLite:63ms | Total:120ms
03-28 20:55:37.472  6208  6208 I flutter : [PERF] 20:55:37 | FPS:9 | MLKit:70ms | TFLite:72ms | Total:142ms
03-28 20:55:38.520  6208  6208 I flutter : [PERF] 20:55:38 | FPS:14 | MLKit:74ms | TFLite:70ms | Total:144ms
03-28 20:55:39.615  6208  6208 I flutter : [PERF] 20:55:39 | FPS:15 | MLKit:57ms | TFLite:55ms | Total:113ms
03-28 20:55:40.646  6208  6208 I flutter : [PERF] 20:55:40 | FPS:10 | MLKit:59ms | TFLite:59ms | Total:118ms
03-28 20:55:41.719  6208  6208 I flutter : [PERF] 20:55:41 | FPS:13 | MLKit:63ms | TFLite:65ms | Total:128ms
03-28 20:55:42.720  6208  6208 I flutter : [PERF] 20:55:42 | FPS:9 | MLKit:64ms | TFLite:67ms | Total:132ms
03-28 20:55:43.768  6208  6208 I flutter : [PERF] 20:55:43 | FPS:11 | MLKit:57ms | TFLite:63ms | Total:120ms
03-28 20:55:44.845  6208  6208 I flutter : [PERF] 20:55:44 | FPS:12 | MLKit:58ms | TFLite:63ms | Total:121ms
03-28 20:55:45.934  6208  6208 I flutter : [PERF] 20:55:45 | FPS:10 | MLKit:70ms | TFLite:69ms | Total:140ms
03-28 20:55:46.989  6208  6208 I flutter : [PERF] 20:55:46 | FPS:11 | MLKit:78ms | TFLite:76ms | Total:154ms
03-28 20:55:48.007  6208  6208 I flutter : [PERF] 20:55:48 | FPS:10 | MLKit:79ms | TFLite:74ms | Total:154ms
