03-28 13:22:08.050 20704 20704 I flutter : [PERF] 13:22:08 | FPS:13 | MLKit:57ms | TFLite:59ms | Total:117ms
03-28 13:22:09.064 20704 20704 I flutter : [PERF] 13:22:09 | FPS:12 | MLKit:58ms | TFLite:57ms | Total:116ms
03-28 13:22:10.121 20704 20704 I flutter : [PERF] 13:22:10 | FPS:15 | MLKit:58ms | TFLite:54ms | Total:112ms
03-28 13:22:11.173 20704 20704 I flutter : [PERF] 13:22:11 | FPS:11 | MLKit:57ms | TFLite:54ms | Total:111ms
03-28 13:22:12.237 20704 20704 I flutter : [PERF] 13:22:12 | FPS:12 | MLKit:56ms | TFLite:53ms | Total:110ms
03-28 13:22:13.307 20704 20704 I flutter : [PERF] 13:22:13 | FPS:12 | MLKit:56ms | TFLite:57ms | Total:114ms
03-28 13:22:14.348 20704 20704 I flutter : [PERF] 13:22:14 | FPS:9 | MLKit:62ms | TFLite:61ms | Total:124ms
03-28 13:22:15.470 20704 20704 I flutter : [PERF] 13:22:15 | FPS:12 | MLKit:62ms | TFLite:63ms | Total:125ms
03-28 13:22:16.532 20704 20704 I flutter : [PERF] 13:22:16 | FPS:12 | MLKit:57ms | TFLite:62ms | Total:119ms
03-28 13:22:17.626 20704 20704 I flutter : [PERF] 13:22:17 | FPS:11 | MLKit:54ms | TFLite:59ms | Total:113ms
03-28 13:22:18.630 20704 20704 I flutter : [PERF] 13:22:18 | FPS:9 | MLKit:59ms | TFLite:66ms | Total:125ms
03-28 13:22:19.684 20704 20704 I flutter : [PERF] 13:22:19 | FPS:12 | MLKit:61ms | TFLite:67ms | Total:129ms
03-28 13:22:20.732 20704 20704 I flutter : [PERF] 13:22:20 | FPS:13 | MLKit:57ms | TFLite:64ms | Total:122ms
03-28 13:22:21.777 20704 20704 I flutter : [PERF] 13:22:21 | FPS:10 | MLKit:57ms | TFLite:60ms | Total:117ms
03-28 13:22:22.788 20704 20704 I flutter : [PERF] 13:22:22 | FPS:13 | MLKit:57ms | TFLite:54ms | Total:111ms
03-28 13:22:23.843 20704 20704 I flutter : [PERF] 13:22:23 | FPS:12 | MLKit:63ms | TFLite:54ms | Total:117ms
03-28 13:22:24.849 20704 20704 I flutter : [PERF] 13:22:24 | FPS:11 | MLKit:61ms | TFLite:57ms | Total:118ms
03-28 13:22:26.013 20704 20704 I flutter : [PERF] 13:22:26 | FPS:15 | MLKit:58ms | TFLite:57ms | Total:115ms
03-28 13:22:27.020 20704 20704 I flutter : [PERF] 13:22:27 | FPS:11 | MLKit:61ms | TFLite:60ms | Total:121ms
03-28 13:22:28.092 20704 20704 I flutter : [PERF] 13:22:28 | FPS:13 | MLKit:63ms | TFLite:60ms | Total:124ms
03-28 13:22:29.172 20704 20704 I flutter : [PERF] 13:22:29 | FPS:15 | MLKit:55ms | TFLite:56ms | Total:111ms
03-28 13:22:30.247 20704 20704 I flutter : [PERF] 13:22:30 | FPS:12 | MLKit:60ms | TFLite:61ms | Total:122ms
03-28 13:22:31.304 20704 20704 I flutter : [PERF] 13:22:31 | FPS:15 | MLKit:64ms | TFLite:61ms | Total:126ms
03-28 13:22:32.340 20704 20704 I flutter : [PERF] 13:22:32 | FPS:12 | MLKit:54ms | TFLite:53ms | Total:108ms
03-28 13:22:33.397 20704 20704 I flutter : [PERF] 13:22:33 | FPS:12 | MLKit:54ms | TFLite:55ms | Total:109ms
03-28 13:22:34.417 20704 20704 I flutter : [PERF] 13:22:34 | FPS:10 | MLKit:53ms | TFLite:57ms | Total:110ms
