04-02 13:49:32.710 30850 30850 I flutter : [PERF] 13:49:32 | FPS:12 | MLKit:59ms | TFLite:60ms | Total:120ms
04-02 13:49:33.744 30850 30850 I flutter : [PERF] 13:49:33 | FPS:11 | MLKit:58ms | TFLite:59ms | Total:118ms
04-02 13:49:34.877 30850 30850 I flutter : [PERF] 13:49:34 | FPS:12 | MLKit:56ms | TFLite:58ms | Total:115ms
04-02 13:49:35.897 30850 30850 I flutter : [PERF] 13:49:35 | FPS:12 | MLKit:63ms | TFLite:59ms | Total:122ms
04-02 13:49:36.897 30850 30850 I flutter : [PERF] 13:49:36 | FPS:13 | MLKit:60ms | TFLite:55ms | Total:116ms
04-02 13:49:37.957 30850 30850 I flutter : [PERF] 13:49:37 | FPS:12 | MLKit:61ms | TFLite:57ms | Total:118ms
04-02 13:49:39.036 30850 30850 I flutter : [PERF] 13:49:39 | FPS:13 | MLKit:60ms | TFLite:57ms | Total:117ms
04-02 13:49:40.093 30850 30850 I flutter : [PERF] 13:49:40 | FPS:9 | MLKit:62ms | TFLite:65ms | Total:128ms
04-02 13:49:41.146 30850 30850 I flutter : [PERF] 13:49:41 | FPS:11 | MLKit:60ms | TFLite:67ms | Total:128ms
04-02 13:49:42.304 30850 30850 I flutter : [PERF] 13:49:42 | FPS:11 | MLKit:58ms | TFLite:68ms | Total:126ms
04-02 13:49:43.403 30850 30850 I flutter : [PERF] 13:49:43 | FPS:11 | MLKit:56ms | TFLite:61ms | Total:117ms
04-02 13:49:44.415 30850 30850 I flutter : [PERF] 13:49:44 | FPS:12 | MLKit:55ms | TFLite:59ms | Total:114ms
04-02 13:49:45.426 30850 30850 I flutter : [PERF] 13:49:45 | FPS:13 | MLKit:52ms | TFLite:55ms | Total:108ms
04-02 13:49:46.525 30850 30850 I flutter : [PERF] 13:49:46 | FPS:14 | MLKit:57ms | TFLite:55ms | Total:112ms
04-02 13:49:47.551 30850 30850 I flutter : [PERF] 13:49:47 | FPS:13 | MLKit:58ms | TFLite:55ms | Total:114ms
04-02 13:49:48.610 30850 30850 I flutter : [PERF] 13:49:48 | FPS:14 | MLKit:54ms | TFLite:53ms | Total:107ms
04-02 13:49:49.621 30850 30850 I flutter : [PERF] 13:49:49 | FPS:11 | MLKit:49ms | TFLite:53ms | Total:102ms
04-02 13:49:50.649 30850 30850 I flutter : [PERF] 13:49:50 | FPS:12 | MLKit:48ms | TFLite:55ms | Total:104ms
04-02 13:49:51.685 30850 30850 I flutter : [PERF] 13:49:51 | FPS:14 | MLKit:50ms | TFLite:55ms | Total:105ms
04-02 13:49:52.713 30850 30850 I flutter : [PERF] 13:49:52 | FPS:13 | MLKit:56ms | TFLite:54ms | Total:110ms
04-02 13:49:53.767 30850 30850 I flutter : [PERF] 13:49:53 | FPS:15 | MLKit:53ms | TFLite:52ms | Total:105ms
04-02 13:49:54.779 30850 30850 I flutter : [PERF] 13:49:54 | FPS:14 | MLKit:52ms | TFLite:52ms | Total:105ms
04-02 13:49:55.784 30850 30850 I flutter : [PERF] 13:49:55 | FPS:14 | MLKit:56ms | TFLite:55ms | Total:111ms
04-02 13:49:56.792 30850 30850 I flutter : [PERF] 13:49:56 | FPS:15 | MLKit:53ms | TFLite:53ms | Total:104ms
04-02 13:49:57.823 30850 30850 I flutter : [PERF] 13:49:57 | FPS:11 | MLKit:58ms | TFLite:59ms | Total:115ms
04-02 13:49:58.887 30850 30850 I flutter : [PERF] 13:49:58 | FPS:12 | MLKit:57ms | TFLite:59ms | Total:115ms
04-02 13:49:59.968 30850 30850 I flutter : [PERF] 13:49:59 | FPS:13 | MLKit:61ms | TFLite:59ms | Total:120ms
04-02 13:50:01.043 30850 30850 I flutter : [PERF] 13:50:01 | FPS:12 | MLKit:62ms | TFLite:57ms | Total:119ms
04-02 13:50:02.062 30850 30850 I flutter : [PERF] 13:50:02 | FPS:11 | MLKit:52ms | TFLite:56ms | Total:109ms
04-02 13:50:03.159 30850 30850 I flutter : [PERF] 13:50:03 | FPS:12 | MLKit:51ms | TFLite:59ms | Total:110ms
04-02 13:50:04.255 30850 30850 I flutter : [PERF] 13:50:04 | FPS:12 | MLKit:48ms | TFLite:59ms | Total:108ms
04-02 13:50:05.309 30850 30850 I flutter : [PERF] 13:50:05 | FPS:12 | MLKit:57ms | TFLite:59ms | Total:116ms
04-02 13:50:06.335 30850 30850 I flutter : [PERF] 13:50:06 | FPS:10 | MLKit:58ms | TFLite:60ms | Total:118ms
04-02 13:50:07.400 30850 30850 I flutter : [PERF] 13:50:07 | FPS:12 | MLKit:63ms | TFLite:62ms | Total:126ms
04-02 13:50:08.461 30850 30850 I flutter : [PERF] 13:50:08 | FPS:10 | MLKit:63ms | TFLite:69ms | Total:130ms
04-02 13:50:09.516 30850 30850 I flutter : [PERF] 13:50:09 | FPS:16 | MLKit:59ms | TFLite:58ms | Total:116ms
04-02 13:50:10.582 30850 30850 I flutter : [PERF] 13:50:10 | FPS:13 | MLKit:53ms | TFLite:53ms | Total:106ms
04-02 13:50:11.604 30850 30850 I flutter : [PERF] 13:50:11 | FPS:11 | MLKit:53ms | TFLite:54ms | Total:107ms
04-02 13:50:12.623 30850 30850 I flutter : [PERF] 13:50:12 | FPS:13 | MLKit:56ms | TFLite:57ms | Total:113ms
04-02 13:50:13.670 30850 30850 I flutter : [PERF] 13:50:13 | FPS:12 | MLKit:57ms | TFLite:59ms | Total:117ms
04-02 13:50:14.675 30850 30850 I flutter : [PERF] 13:50:14 | FPS:14 | MLKit:60ms | TFLite:56ms | Total:116ms
04-02 13:50:15.701 30850 30850 I flutter : [PERF] 13:50:15 | FPS:12 | MLKit:58ms | TFLite:57ms | Total:116ms
04-02 13:50:16.764 30850 30850 I flutter : [PERF] 13:50:16 | FPS:12 | MLKit:54ms | TFLite:56ms | Total:111ms
04-02 13:50:17.828 30850 30850 I flutter : [PERF] 13:50:17 | FPS:11 | MLKit:60ms | TFLite:57ms | Total:118ms
04-02 13:50:18.859 30850 30850 I flutter : [PERF] 13:50:18 | FPS:13 | MLKit:61ms | TFLite:59ms | Total:121ms
04-02 13:50:19.876 30850 30850 I flutter : [PERF] 13:50:19 | FPS:11 | MLKit:61ms | TFLite:61ms | Total:122ms
04-02 13:50:20.880 30850 30850 I flutter : [PERF] 13:50:20 | FPS:11 | MLKit:63ms | TFLite:66ms | Total:129ms
04-02 13:50:21.928 30850 30850 I flutter : [PERF] 13:50:21 | FPS:14 | MLKit:59ms | TFLite:61ms | Total:121ms
04-02 13:50:22.943 30850 30850 I flutter : [PERF] 13:50:22 | FPS:12 | MLKit:60ms | TFLite:61ms | Total:121ms
04-02 13:50:23.991 30850 30850 I flutter : [PERF] 13:50:23 | FPS:11 | MLKit:58ms | TFLite:57ms | Total:116ms
04-02 13:50:25.004 30850 30850 I flutter : [PERF] 13:50:25 | FPS:11 | MLKit:62ms | TFLite:58ms | Total:121ms
04-02 13:50:26.064 30850 30850 I flutter : [PERF] 13:50:26 | FPS:11 | MLKit:59ms | TFLite:60ms | Total:120ms
04-02 13:50:27.106 30850 30850 I flutter : [PERF] 13:50:27 | FPS:14 | MLKit:66ms | TFLite:63ms | Total:129ms
04-02 13:50:28.197 30850 30850 I flutter : [PERF] 13:50:28 | FPS:12 | MLKit:60ms | TFLite:59ms | Total:119ms
04-02 13:50:29.207 30850 30850 I flutter : [PERF] 13:50:29 | FPS:11 | MLKit:60ms | TFLite:59ms | Total:120ms
04-02 13:50:30.273 30850 30850 I flutter : [PERF] 13:50:30 | FPS:11 | MLKit:59ms | TFLite:66ms | Total:126ms
04-02 13:50:31.282 30850 30850 I flutter : [PERF] 13:50:31 | FPS:12 | MLKit:64ms | TFLite:65ms | Total:129ms
04-02 13:50:32.352 30850 30850 I flutter : [PERF] 13:50:32 | FPS:13 | MLKit:66ms | TFLite:64ms | Total:130ms
