03-28 18:48:08.742 25089 25089 I flutter : [PERF] 18:48:08 | FPS:12 | MLKit:44ms | TFLite:45ms | Total:90ms
03-28 18:48:09.806 25089 25089 I flutter : [PERF] 18:48:09 | FPS:13 | MLKit:49ms | TFLite:50ms | Total:100ms
03-28 18:48:10.833 25089 25089 I flutter : [PERF] 18:48:10 | FPS:12 | MLKit:52ms | TFLite:50ms | Total:102ms
03-28 18:48:11.892 25089 25089 I flutter : [PERF] 18:48:11 | FPS:16 | MLKit:48ms | TFLite:45ms | Total:94ms
03-28 18:48:12.949 25089 25089 I flutter : [PERF] 18:48:12 | FPS:12 | MLKit:42ms | TFLite:42ms | Total:85ms
03-28 18:48:13.974 25089 25089 I flutter : [PERF] 18:48:13 | FPS:13 | MLKit:44ms | TFLite:46ms | Total:91ms
03-28 18:48:15.056 25089 25089 I flutter : [PERF] 18:48:15 | FPS:12 | MLKit:45ms | TFLite:51ms | Total:97ms
03-28 18:48:16.058 25089 25089 I flutter : [PERF] 18:48:16 | FPS:11 | MLKit:52ms | TFLite:53ms | Total:106ms
03-28 18:48:17.094 25089 25089 I flutter : [PERF] 18:48:17 | FPS:13 | MLKit:52ms | TFLite:48ms | Total:101ms
03-28 18:48:18.161 25089 25089 I flutter : [PERF] 18:48:18 | FPS:17 | MLKit:44ms | TFLite:39ms | Total:84ms
03-28 18:48:19.241 25089 25089 I flutter : [PERF] 18:48:19 | FPS:15 | MLKit:42ms | TFLite:39ms | Total:82ms
03-28 18:48:20.251 25089 25089 I flutter : [PERF] 18:48:20 | FPS:14 | MLKit:40ms | TFLite:42ms | Total:82ms
03-28 18:48:21.313 25089 25089 I flutter : [PERF] 18:48:21 | FPS:14 | MLKit:39ms | TFLite:41ms | Total:81ms
03-28 18:48:22.357 25089 25089 I flutter : [PERF] 18:48:22 | FPS:14 | MLKit:44ms | TFLite:44ms | Total:88ms
03-28 18:48:23.484 25089 25089 I flutter : [PERF] 18:48:23 | FPS:14 | MLKit:45ms | TFLite:46ms | Total:91ms
03-28 18:48:24.544 25089 25089 I flutter : [PERF] 18:48:24 | FPS:12 | MLKit:47ms | TFLite:47ms | Total:95ms
03-28 18:48:25.583 25089 25089 I flutter : [PERF] 18:48:25 | FPS:13 | MLKit:46ms | TFLite:47ms | Total:94ms
03-28 18:48:26.689 25089 25089 I flutter : [PERF] 18:48:26 | FPS:12 | MLKit:47ms | TFLite:46ms | Total:94ms
03-28 18:48:27.727 25089 25089 I flutter : [PERF] 18:48:27 | FPS:14 | MLKit:48ms | TFLite:44ms | Total:92ms
03-28 18:48:28.792 25089 25089 I flutter : [PERF] 18:48:28 | FPS:14 | MLKit:46ms | TFLite:41ms | Total:88ms
03-28 18:48:29.845 25089 25089 I flutter : [PERF] 18:48:29 | FPS:13 | MLKit:42ms | TFLite:40ms | Total:83ms
03-28 18:48:30.913 25089 25089 I flutter : [PERF] 18:48:30 | FPS:14 | MLKit:41ms | TFLite:43ms | Total:85ms
03-28 18:48:31.968 25089 25089 I flutter : [PERF] 18:48:31 | FPS:13 | MLKit:42ms | TFLite:45ms | Total:88ms
03-28 18:48:32.997 25089 25089 I flutter : [PERF] 18:48:32 | FPS:11 | MLKit:44ms | TFLite:48ms | Total:92ms
03-28 18:48:34.114 25089 25089 I flutter : [PERF] 18:48:34 | FPS:11 | MLKit:47ms | TFLite:52ms | Total:100ms
03-28 18:48:35.206 25089 25089 I flutter : [PERF] 18:48:35 | FPS:14 | MLKit:43ms | TFLite:45ms | Total:89ms
03-28 18:48:36.278 25089 25089 I flutter : [PERF] 18:48:36 | FPS:11 | MLKit:50ms | TFLite:50ms | Total:100ms
03-28 18:48:37.336 25089 25089 I flutter : [PERF] 18:48:37 | FPS:15 | MLKit:45ms | TFLite:45ms | Total:91ms
03-28 18:48:38.444 25089 25089 I flutter : [PERF] 18:48:38 | FPS:12 | MLKit:43ms | TFLite:45ms | Total:88ms
03-28 18:48:39.493 25089 25089 I flutter : [PERF] 18:48:39 | FPS:13 | MLKit:46ms | TFLite:44ms | Total:90ms
