03-28 20:34:16.090  3085  3085 I flutter : [PERF] 20:34:16 | FPS:5 | MLKit:147ms | TFLite:208ms | Total:355ms
03-28 20:34:17.179  3085  3085 I flutter : [PERF] 20:34:17 | FPS:4 | MLKit:134ms | TFLite:214ms | Total:349ms
03-28 20:34:18.246  3085  3085 I flutter : [PERF] 20:34:18 | FPS:5 | MLKit:144ms | TFLite:210ms | Total:355ms
03-28 20:34:19.366  3085  3085 I flutter : [PERF] 20:34:19 | FPS:5 | MLKit:147ms | TFLite:212ms | Total:360ms
03-28 20:34:20.474  3085  3085 I flutter : [PERF] 20:34:20 | FPS:5 | MLKit:146ms | TFLite:212ms | Total:358ms
03-28 20:34:21.521  3085  3085 I flutter : [PERF] 20:34:21 | FPS:4 | MLKit:150ms | TFLite:211ms | Total:362ms
03-28 20:34:22.543  3085  3085 I flutter : [PERF] 20:34:22 | FPS:4 | MLKit:151ms | TFLite:213ms | Total:365ms
03-28 20:34:23.682  3085  3085 I flutter : [PERF] 20:34:23 | FPS:5 | MLKit:173ms | TFLite:210ms | Total:384ms
03-28 20:34:24.815  3085  3085 I flutter : [PERF] 20:34:24 | FPS:5 | MLKit:172ms | TFLite:211ms | Total:383ms
03-28 20:34:26.009  3085  3085 I flutter : [PERF] 20:34:26 | FPS:5 | MLKit:184ms | TFLite:215ms | Total:399ms
03-28 20:34:27.162  3085  3085 I flutter : [PERF] 20:34:27 | FPS:5 | MLKit:182ms | TFLite:216ms | Total:399ms
03-28 20:34:28.228  3085  3085 I flutter : [PERF] 20:34:28 | FPS:4 | MLKit:183ms | TFLite:216ms | Total:399ms
03-28 20:34:29.389  3085  3085 I flutter : [PERF] 20:34:29 | FPS:5 | MLKit:188ms | TFLite:216ms | Total:405ms
03-28 20:34:30.548  3085  3085 I flutter : [PERF] 20:34:30 | FPS:5 | MLKit:182ms | TFLite:217ms | Total:400ms
03-28 20:34:31.716  3085  3085 I flutter : [PERF] 20:34:31 | FPS:5 | MLKit:185ms | TFLite:217ms | Total:402ms
03-28 20:34:32.860  3085  3085 I flutter : [PERF] 20:34:32 | FPS:5 | MLKit:183ms | TFLite:215ms | Total:399ms
03-28 20:34:33.916  3085  3085 I flutter : [PERF] 20:34:33 | FPS:4 | MLKit:179ms | TFLite:217ms | Total:396ms
03-28 20:34:35.059  3085  3085 I flutter : [PERF] 20:34:35 | FPS:5 | MLKit:190ms | TFLite:217ms | Total:408ms
03-28 20:34:36.313  3085  3085 I flutter : [PERF] 20:34:36 | FPS:4 | MLKit:173ms | TFLite:220ms | Total:394ms
03-28 20:34:37.346  3085  3085 I flutter : [PERF] 20:34:37 | FPS:4 | MLKit:169ms | TFLite:221ms | Total:390ms
03-28 20:34:38.467  3085  3085 I flutter : [PERF] 20:34:38 | FPS:5 | MLKit:164ms | TFLite:219ms | Total:383ms
03-28 20:34:39.531  3085  3085 I flutter : [PERF] 20:34:39 | FPS:5 | MLKit:157ms | TFLite:215ms | Total:373ms
03-28 20:34:40.774  3085  3085 I flutter : [PERF] 20:34:40 | FPS:4 | MLKit:143ms | TFLite:220ms | Total:364ms
03-28 20:34:41.828  3085  3085 I flutter : [PERF] 20:34:41 | FPS:4 | MLKit:137ms | TFLite:219ms | Total:356ms
03-28 20:34:42.979  3085  3085 I flutter : [PERF] 20:34:42 | FPS:4 | MLKit:134ms | TFLite:222ms | Total:356ms
03-28 20:34:44.043  3085  3085 I flutter : [PERF] 20:34:44 | FPS:4 | MLKit:153ms | TFLite:221ms | Total:375ms
03-28 20:34:45.145  3085  3085 I flutter : [PERF] 20:34:45 | FPS:4 | MLKit:141ms | TFLite:222ms | Total:363ms
03-28 20:34:46.320  3085  3085 I flutter : [PERF] 20:34:46 | FPS:5 | MLKit:148ms | TFLite:225ms | Total:374ms
03-28 20:34:47.491  3085  3085 I flutter : [PERF] 20:34:47 | FPS:5 | MLKit:153ms | TFLite:229ms | Total:383ms
03-28 20:34:48.608  3085  3085 I flutter : [PERF] 20:34:48 | FPS:4 | MLKit:164ms | TFLite:228ms | Total:392ms
03-28 20:34:49.772  3085  3085 I flutter : [PERF] 20:34:49 | FPS:4 | MLKit:166ms | TFLite:230ms | Total:396ms
03-28 20:34:51.035  3085  3085 I flutter : [PERF] 20:34:51 | FPS:4 | MLKit:159ms | TFLite:233ms | Total:393ms
