03-28 18:22:02.316 23179 23179 I flutter : [PERF] 18:22:02 | FPS:6 | MLKit:127ms | TFLite:178ms | Total:306ms
03-28 18:22:03.370 23179 23179 I flutter : [PERF] 18:22:03 | FPS:6 | MLKit:125ms | TFLite:174ms | Total:300ms
03-28 18:22:04.529 23179 23179 I flutter : [PERF] 18:22:04 | FPS:6 | MLKit:132ms | TFLite:171ms | Total:303ms
03-28 18:22:05.624 23179 23179 I flutter : [PERF] 18:22:05 | FPS:7 | MLKit:134ms | TFLite:171ms | Total:299ms
03-28 18:22:06.625 23179 23179 I flutter : [PERF] 18:22:06 | FPS:5 | MLKit:134ms | TFLite:169ms | Total:298ms
03-28 18:22:07.879 23179 23179 I flutter : [PERF] 18:22:07 | FPS:6 | MLKit:114ms | TFLite:169ms | Total:278ms
03-28 18:22:08.985 23179 23179 I flutter : [PERF] 18:22:08 | FPS:6 | MLKit:115ms | TFLite:171ms | Total:280ms
03-28 18:22:10.165 23179 23179 I flutter : [PERF] 18:22:10 | FPS:6 | MLKit:126ms | TFLite:175ms | Total:295ms
03-28 18:22:11.318 23179 23179 I flutter : [PERF] 18:22:11 | FPS:6 | MLKit:135ms | TFLite:177ms | Total:313ms
03-28 18:22:12.412 23179 23179 I flutter : [PERF] 18:22:12 | FPS:6 | MLKit:149ms | TFLite:177ms | Total:326ms
03-28 18:22:13.513 23179 23179 I flutter : [PERF] 18:22:13 | FPS:6 | MLKit:162ms | TFLite:176ms | Total:339ms
03-28 18:22:14.653 23179 23179 I flutter : [PERF] 18:22:14 | FPS:6 | MLKit:163ms | TFLite:176ms | Total:339ms
03-28 18:22:15.785 23179 23179 I flutter : [PERF] 18:22:15 | FPS:5 | MLKit:158ms | TFLite:177ms | Total:336ms
03-28 18:22:16.814 23179 23179 I flutter : [PERF] 18:22:16 | FPS:5 | MLKit:154ms | TFLite:178ms | Total:332ms
03-28 18:22:17.860 23179 23179 I flutter : [PERF] 18:22:17 | FPS:6 | MLKit:152ms | TFLite:177ms | Total:330ms
